event_type,event_timestamp,example_number,prompt_tokens,completion_tokens,total_tokens,llm_name,tool_name,function_name,function_id,parent_function_name,parent_function_id,UUID,framework,NOVA-Event-ID,NOVA-Requests-Remaining-In-Event,NOVA-Time-To-Next-Event,NOVA-Time-To-Event-End,NOVA-Predicted-OSL,NOVA-Time-To-Session-End
LLM_NEW_TOKEN,1765872845.127468,0,0,0,0,,,<workflow>,ac682da5-01f2-4e77-a318-c4bfe8ce36d8,root,root,6f095eee-6864-4f9f-9a67-c32b735f17fd,langchain,<workflow>,1.0,5804.579019546509,5804.579019546509,,7566.619873046875
LLM_NEW_TOKEN,1765872845.127757,0,0,0,0,,,<workflow>,ac682da5-01f2-4e77-a318-c4bfe8ce36d8,root,root,6f095eee-6864-4f9f-9a67-c32b735f17fd,langchain,<workflow>,1.0,5804.290056228638,5804.290056228638,,7566.330909729004
LLM_NEW_TOKEN,1765872845.141377,0,0,0,0,,,<workflow>,ac682da5-01f2-4e77-a318-c4bfe8ce36d8,root,root,6f095eee-6864-4f9f-9a67-c32b735f17fd,langchain,<workflow>,1.0,5790.670156478882,5790.670156478882,,7552.711009979248
LLM_NEW_TOKEN,1765872845.141567,0,0,0,0,,,<workflow>,ac682da5-01f2-4e77-a318-c4bfe8ce36d8,root,root,6f095eee-6864-4f9f-9a67-c32b735f17fd,langchain,<workflow>,1.0,5790.480136871338,5790.480136871338,,7552.520990371704
LLM_NEW_TOKEN,1765872845.155712,0,0,0,0,,,<workflow>,ac682da5-01f2-4e77-a318-c4bfe8ce36d8,root,root,6f095eee-6864-4f9f-9a67-c32b735f17fd,langchain,<workflow>,1.0,5776.3352394104,5776.3352394104,,7538.376092910767
LLM_NEW_TOKEN,1765872845.155949,0,0,0,0,,,<workflow>,ac682da5-01f2-4e77-a318-c4bfe8ce36d8,root,root,6f095eee-6864-4f9f-9a67-c32b735f17fd,langchain,<workflow>,1.0,5776.098012924194,5776.098012924194,,7538.138866424561
LLM_NEW_TOKEN,1765872845.1694279,0,0,0,0,,,<workflow>,ac682da5-01f2-4e77-a318-c4bfe8ce36d8,root,root,6f095eee-6864-4f9f-9a67-c32b735f17fd,langchain,<workflow>,1.0,5762.619256973267,5762.619256973267,,7524.660110473633
LLM_NEW_TOKEN,1765872845.169678,0,0,0,0,,,<workflow>,ac682da5-01f2-4e77-a318-c4bfe8ce36d8,root,root,6f095eee-6864-4f9f-9a67-c32b735f17fd,langchain,<workflow>,1.0,5762.369155883789,5762.369155883789,,7524.410009384155
LLM_NEW_TOKEN,1765872845.1823318,0,0,0,0,,,<workflow>,ac682da5-01f2-4e77-a318-c4bfe8ce36d8,root,root,6f095eee-6864-4f9f-9a67-c32b735f17fd,langchain,<workflow>,1.0,5749.715328216553,5749.715328216553,,7511.756181716919
LLM_NEW_TOKEN,1765872845.182564,0,0,0,0,,,<workflow>,ac682da5-01f2-4e77-a318-c4bfe8ce36d8,root,root,6f095eee-6864-4f9f-9a67-c32b735f17fd,langchain,<workflow>,1.0,5749.483108520508,5749.483108520508,,7511.523962020874
LLM_NEW_TOKEN,1765872845.197727,0,0,0,0,,,<workflow>,ac682da5-01f2-4e77-a318-c4bfe8ce36d8,root,root,6f095eee-6864-4f9f-9a67-c32b735f17fd,langchain,<workflow>,1.0,5734.320163726807,5734.320163726807,,7496.361017227173
LLM_NEW_TOKEN,1765872845.197908,0,0,0,0,,,<workflow>,ac682da5-01f2-4e77-a318-c4bfe8ce36d8,root,root,6f095eee-6864-4f9f-9a67-c32b735f17fd,langchain,<workflow>,1.0,5734.139204025269,5734.139204025269,,7496.180057525635
LLM_NEW_TOKEN,1765872845.2098198,0,0,0,0,,,<workflow>,ac682da5-01f2-4e77-a318-c4bfe8ce36d8,root,root,6f095eee-6864-4f9f-9a67-c32b735f17fd,langchain,<workflow>,1.0,5722.227334976196,5722.227334976196,,7484.2681884765625
LLM_NEW_TOKEN,1765872845.209981,0,0,0,0,,,<workflow>,ac682da5-01f2-4e77-a318-c4bfe8ce36d8,root,root,6f095eee-6864-4f9f-9a67-c32b735f17fd,langchain,<workflow>,1.0,5722.066164016724,5722.066164016724,,7484.10701751709
LLM_NEW_TOKEN,1765872845.223209,0,0,0,0,,,<workflow>,ac682da5-01f2-4e77-a318-c4bfe8ce36d8,root,root,6f095eee-6864-4f9f-9a67-c32b735f17fd,langchain,<workflow>,1.0,5708.838224411011,5708.838224411011,,7470.879077911377
LLM_NEW_TOKEN,1765872845.223365,0,0,0,0,,,<workflow>,ac682da5-01f2-4e77-a318-c4bfe8ce36d8,root,root,6f095eee-6864-4f9f-9a67-c32b735f17fd,langchain,<workflow>,1.0,5708.682060241699,5708.682060241699,,7470.722913742065
LLM_NEW_TOKEN,1765872845.23735,0,0,0,0,,,<workflow>,ac682da5-01f2-4e77-a318-c4bfe8ce36d8,root,root,6f095eee-6864-4f9f-9a67-c32b735f17fd,langchain,<workflow>,1.0,5694.697141647339,5694.697141647339,,7456.737995147705
LLM_NEW_TOKEN,1765872845.237528,0,0,0,0,,,<workflow>,ac682da5-01f2-4e77-a318-c4bfe8ce36d8,root,root,6f095eee-6864-4f9f-9a67-c32b735f17fd,langchain,<workflow>,1.0,5694.51904296875,5694.51904296875,,7456.559896469116
LLM_NEW_TOKEN,1765872845.251033,0,0,0,0,,,<workflow>,ac682da5-01f2-4e77-a318-c4bfe8ce36d8,root,root,6f095eee-6864-4f9f-9a67-c32b735f17fd,langchain,<workflow>,1.0,5681.014060974121,5681.014060974121,,7443.054914474487
LLM_NEW_TOKEN,1765872845.251185,0,0,0,0,,,<workflow>,ac682da5-01f2-4e77-a318-c4bfe8ce36d8,root,root,6f095eee-6864-4f9f-9a67-c32b735f17fd,langchain,<workflow>,1.0,5680.862188339233,5680.862188339233,,7442.9030418396
LLM_NEW_TOKEN,1765872845.267364,0,0,0,0,,,<workflow>,ac682da5-01f2-4e77-a318-c4bfe8ce36d8,root,root,6f095eee-6864-4f9f-9a67-c32b735f17fd,langchain,<workflow>,1.0,5664.683103561401,5664.683103561401,,7426.723957061768
LLM_NEW_TOKEN,1765872845.267498,0,0,0,0,,,<workflow>,ac682da5-01f2-4e77-a318-c4bfe8ce36d8,root,root,6f095eee-6864-4f9f-9a67-c32b735f17fd,langchain,<workflow>,1.0,5664.549112319946,5664.549112319946,,7426.5899658203125
LLM_NEW_TOKEN,1765872845.2783492,0,0,0,0,,,<workflow>,ac682da5-01f2-4e77-a318-c4bfe8ce36d8,root,root,6f095eee-6864-4f9f-9a67-c32b735f17fd,langchain,<workflow>,1.0,5653.697967529297,5653.697967529297,,7415.738821029663
LLM_NEW_TOKEN,1765872845.278466,0,0,0,0,,,<workflow>,ac682da5-01f2-4e77-a318-c4bfe8ce36d8,root,root,6f095eee-6864-4f9f-9a67-c32b735f17fd,langchain,<workflow>,1.0,5653.581142425537,5653.581142425537,,7415.621995925903
LLM_NEW_TOKEN,1765872845.291821,0,0,0,0,,,<workflow>,ac682da5-01f2-4e77-a318-c4bfe8ce36d8,root,root,6f095eee-6864-4f9f-9a67-c32b735f17fd,langchain,<workflow>,1.0,5640.226125717163,5640.226125717163,,7402.266979217529
LLM_NEW_TOKEN,1765872845.291958,0,0,0,0,,,<workflow>,ac682da5-01f2-4e77-a318-c4bfe8ce36d8,root,root,6f095eee-6864-4f9f-9a67-c32b735f17fd,langchain,<workflow>,1.0,5640.08903503418,5640.08903503418,,7402.129888534546
LLM_NEW_TOKEN,1765872845.3061419,0,0,0,0,,,<workflow>,ac682da5-01f2-4e77-a318-c4bfe8ce36d8,root,root,6f095eee-6864-4f9f-9a67-c32b735f17fd,langchain,<workflow>,1.0,5625.905275344849,5625.905275344849,,7387.946128845215
